"Mission Name","Year","Objective","Outcome","Reason","Success"
"Challenger Shuttle Disaster","1986","10th flight of Space Shuttle Challenger.","Failure. Exploded 73 seconds after liftoff.","Faulty O-ring seal in its right solid rocket boosters.",0
"Mars Climate Orbiter","1998","Study the Martian climate.","Failure. Burned up in the Martian atmosphere.","A metric-imperial unit mismatch in software commands.",0
"Columbia Shuttle Disaster","2003","28th flight of Space Shuttle Columbia.","Failure. Disintegrated upon re-entry.","Damage to thermal protection system caused by foam debris during launch.",0
"Beagle 2","2003","Search for life on Mars.","Failure. Lost upon landing.","One of the solar panels failed to deploy, blocking the communications antenna.",0
"Orion 3","1995","Communication satellite launch.","Failure. Did not reach intended orbit.","The third stage of the rocket failed to ignite.",0
"Mariner 1","1962","Venus flyby.","Failure. Destroyed 293 seconds after launch.","Guidance system malfunction due to a coding error.",0
"Mars Polar Lander","1999","Study Martian weather at the south pole.","Failure. Lost during descent to Mars.","Likely a premature engine shutdown, causing a hard landing.",0
"Deep Space 2","1999","Demonstrate new landing technology on Mars.","Failure. Lost upon reaching Mars.","Unknown, speculated the probes may have been destroyed upon impact.",0
"Genesis","2001","Collect samples of solar wind.","Crash-landed upon return to Earth.","Parachute did not deploy due to a design flaw in G-switch sensors.",0
"Phobos-Grunt","2011","Return samples from Mars’ moon Phobos.","Failure. Did not leave Earth's orbit to begin its journey to Mars.","Problems with the onboard computer system and propulsion module.",0
"Mars Observer","1992","Study Mars' surface, atmosphere, and climate.","Failure. Lost contact three days before Mars orbit insertion.","Probable fuel tank rupture.",0
"TESS","2018","Search for exoplanets using a wide-field telescope.","Technical malfunction. Faced a critical issue with its cameras.","Thermal issue affected the quality of images.",0
"CONTOUR","2002","Study two comets closely.","Failure. Lost after a rocket burn intended to send it out of Earth's orbit.","Suspected structural failure during rocket burn.",0
"Nimbus B1","1968","Earth observation for meteorological research.","Failure. Did not reach the intended orbit.","Malfunction during the launch sequence.",0
"ADEOS I","1996","Earth observation to study the environment.","Failure. Lost contact less than a year after launch.","Solar panel failure.",0
"Mars 96","1996","Study Mars from orbit and the surface.","Failure. Crashed in the South Pacific shortly after launch.","Fourth stage rocket malfunction.",0
